concurso,metodo,dezenas,acertos
2,M1_aleatorio_puro,02-03-06-07-09-10-11-12-15-18-19-21-22-24-25,8
2,M2_mais_frequentes,02-03-05-06-09-10-11-13-14-16-18-20-23-24-25,9
2,M3_mais_atrasadas,01-02-04-05-07-08-09-11-12-15-16-17-19-21-22,10
2,M4_par_impar_balanceado,01-02-03-04-05-07-10-11-12-16-17-18-20-21-22,8
2,M5_soma_faixa_comum,01-02-03-04-05-09-12-14-15-17-18-21-22-24-25,7
3,M1_aleatorio_puro,01-03-04-05-08-09-12-13-16-18-19-20-22-24-25,8
3,M2_mais_frequentes,04-05-06-07-09-10-11-13-14-15-16-19-20-23-24,11
3,M3_mais_atrasadas,01-02-03-06-07-08-09-10-14-17-18-21-22-24-25,9
3,M4_par_impar_balanceado,01-04-05-06-07-09-10-11-12-14-18-19-20-22-25,10
3,M5_soma_faixa_comum,01-02-03-04-05-07-12-13-14-16-20-21-22-23-24,9
4,M1_aleatorio_puro,01-03-04-05-08-09-10-13-16-17-19-20-21-22-23,10
4,M2_mais_frequentes,01-04-05-06-07-09-10-11-12-13-14-16-20-23-24,9
4,M3_mais_atrasadas,02-03-05-11-12-13-15-18-19-20-21-22-23-24-25,9
4,M4_par_impar_balanceado,01-03-04-05-08-10-11-14-15-18-20-21-22-23-24,8
4,M5_soma_faixa_comum,02-03-04-07-10-11-12-14-15-17-18-19-21-22-24,8
5,M1_aleatorio_puro,01-02-04-06-07-08-09-12-15-16-17-18-20-21-22,9
5,M2_mais_frequentes,01-04-05-06-09-10-11-12-13-16-17-20-23-24-25,11
5,M3_mais_atrasadas,03-04-06-07-08-09-11-14-15-16-17-20-21-22-23,8
5,M4_par_impar_balanceado,01-02-03-04-10-12-13-14-15-16-18-19-21-24-25,10
5,M5_soma_faixa_comum,04-05-06-08-09-10-12-13-15-17-20-21-22-23-25,9
6,M1_aleatorio_puro,01-02-03-04-05-08-09-11-12-13-16-19-20-23-25,9
6,M2_mais_frequentes,01-02-04-05-06-08-09-10-11-12-13-16-20-23-24,9
